file_name,stem,extension,path,relative_path,size_mb,modified_at,match_key,exists_in_mosaic
GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,32.226,2026-06-11 10:38:27,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002140_gs_ortofoto_eb2_13-03-26.tif,False
GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,GEOSP-TRN-002200_ORTOFOTO COMPLETA,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,29.916,2026-06-11 10:38:35,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002200_ortofoto completa.tif,False
GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,29.406,2026-06-11 10:38:36,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002235_gs_ortofoto_eb2_27-03-26.tif,False
GEOSP-TRN-002300_ortofoto completa.tif,GEOSP-TRN-002300_ortofoto completa,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif,50.335,2026-06-11 10:38:43,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002300_ortofoto completa.tif,False
GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,45.081,2026-06-11 10:38:44,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002356_gs_ortofoto_eb2_12-04-26.tif,False
GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,42.079,2026-06-11 10:38:47,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002415_gs_ortofoto_eb2_190426.tif,False
GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,38.723,2026-06-11 10:38:49,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002456_ortofoto_cortada_eb2_260426.tif,False
GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,41.831,2026-06-11 10:38:54,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002504_1001-03-t-cs-202-4310-c-dw-23478[000].tif,False
GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,852.631,2026-06-11 10:39:01,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002507_gs_ortofoto plataforma 30-04-2026.tif,False
GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,128.886,2026-06-11 10:39:03,\\amssclgis10.ams.gmams.cl\cl_mlp_pao\vuelos_drone_sin_procesar\input\20260206_geosupport_primera entrega\solo_tif_02jun26\geosp-trn-002517_1001-03-t-cs-202-5600-c-dw-11486[000].tif,False
