"Name","Raster","Path_Destino","Sector","Fecha_Adqui","URL","Proyecto","Sensor","Fecha_Publ","file_name","relative_path"
"CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro_A_E35","CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro_A_E35.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro_A_E35.tif","Subestacion-El-Mauro_A_E35","2026-05-13","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro_A_E35.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif","SOLO_TIF_19May26\GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif"
"CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro-1","CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro-1.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro-1.tif","Subestacion-El-Mauro","2026-05-13","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro-1.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif","SOLO_TIF_19May26\GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_13_EM2_S2","CL_MLP_PAO_IF_Ortho_26_05_13_EM2_S2.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_EM2_S2.tif","EM2_S2","2026-05-13","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_EM2_S2.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif"
"CL_MLP_PAO_IF_Ortho_26_05_13_EBD-1","CL_MLP_PAO_IF_Ortho_26_05_13_EBD-1.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_EBD-1.tif","EBD","2026-05-13","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_EBD-1.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif","SOLO_TIF_19May26\GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif"
"CL_MLP_PAO_IF_Ortho_26_05_13_ED2","CL_MLP_PAO_IF_Ortho_26_05_13_ED2.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_ED2.tif","ED2","2026-05-13","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_ED2.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif"
"CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro-2","CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro-2.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro-2.tif","Subestacion-El-Mauro","2026-05-13","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro-2.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif","SOLO_TIF_19May26\GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_13_EBD-2","CL_MLP_PAO_IF_Ortho_26_05_13_EBD-2.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_EBD-2.tif","EBD","2026-05-13","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_EBD-2.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif","SOLO_TIF_19May26\GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif"
"CL_MLP_PAO_IF_Ortho_26_05_13_Estacion_Intermedia","CL_MLP_PAO_IF_Ortho_26_05_13_Estacion_Intermedia.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Estacion_Intermedia.tif","Estacion_Intermedia","2026-05-13","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Estacion_Intermedia.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif"
"CL_MLP_PAO_IF_Ortho_26_05_14_EM3","CL_MLP_PAO_IF_Ortho_26_05_14_EM3.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_EM3.tif","EM3","2026-05-14","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_EM3.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif"
"CL_MLP_PAO_IF_Ortho_26_05_14_Camino_Alternativo_Salamanca","CL_MLP_PAO_IF_Ortho_26_05_14_Camino_Alternativo_Salamanca.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_Camino_Alternativo_Salamanca.tif","Camino_Alternativo_Salamanca","2026-05-14","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_Camino_Alternativo_Salamanca.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif","SOLO_TIF_19May26\GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4-1","CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4-1.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4-1.tif","TORRES_E31_A_E48_PV4","2026-05-14","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4-1.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif"
"CL_MLP_PAO_IF_Ortho_26_05_14_Subestacion-El-Mauro_A_E35","CL_MLP_PAO_IF_Ortho_26_05_14_Subestacion-El-Mauro_A_E35.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_Subestacion-El-Mauro_A_E35.tif","Subestacion-El-Mauro_A_E35","2026-05-14","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_Subestacion-El-Mauro_A_E35.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif"
"CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto-1","CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto-1.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto-1.tif","Helipuerto","2026-05-15","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto-1.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","SOLO_TIF_19May26\GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif"
