file_name,stem,extension,path,relative_path,size_mb,modified_at
DJI_20260510130040_0072_V.JPG,DJI_20260510130040_0072_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130040_0072_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130040_0072_V.JPG,1.145,2026-06-08 10:31:07
DJI_20260510130050_0073_V.JPG,DJI_20260510130050_0073_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130050_0073_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130050_0073_V.JPG,1.323,2026-06-08 10:31:07
DJI_20260510130058_0074_V.JPG,DJI_20260510130058_0074_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130058_0074_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130058_0074_V.JPG,1.263,2026-06-08 10:31:08
DJI_20260510130118_0075_V.JPG,DJI_20260510130118_0075_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130118_0075_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130118_0075_V.JPG,1.327,2026-06-08 10:31:08
DJI_20260510130130_0076_V.JPG,DJI_20260510130130_0076_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130130_0076_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E62\DJI_20260510130130_0076_V.JPG,1.206,2026-06-08 10:31:08
DJI_20260510130138_0077_V.JPG,DJI_20260510130138_0077_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130138_0077_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130138_0077_V.JPG,1.226,2026-06-08 10:31:09
DJI_20260510130154_0078_V.JPG,DJI_20260510130154_0078_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130154_0078_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130154_0078_V.JPG,1.236,2026-06-08 10:31:09
DJI_20260510130204_0079_V.JPG,DJI_20260510130204_0079_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130204_0079_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130204_0079_V.JPG,1.348,2026-06-08 10:31:09
DJI_20260510130215_0080_V.JPG,DJI_20260510130215_0080_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130215_0080_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130215_0080_V.JPG,1.375,2026-06-08 10:31:10
DJI_20260510130226_0081_V.JPG,DJI_20260510130226_0081_V,.jpg,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130226_0081_V.JPG,SOLO_JPG_19May26\GEOSP-TRN-002604\E63\DJI_20260510130226_0081_V.JPG,1.322,2026-06-08 10:31:10
