file_name,Name,destination_path,overall_status,source_path,copy_status,copy_error,mosaic_add_status,mosaic_add_error,footprint_status,footprint_error,attribute_status,attribute_rows_updated,attribute_missing_fields,attribute_error
GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif,CL_MLP_PAO_IF_Ortho_26_05_13_EBD-2,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_EBD-2.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_13_Estacion_Intermedia,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_13_Estacion_Intermedia.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_14_EM3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_EM3.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif,CL_MLP_PAO_IF_Ortho_26_05_14_Camino_Alternativo_Salamanca,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_Camino_Alternativo_Salamanca.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4-1,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4-1.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_14_Subestacion-El-Mauro_A_E35,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_Subestacion-El-Mauro_A_E35.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto-1,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto-1.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto-2,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto-2.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_15_EV1,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_15_EV1.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif,CL_MLP_PAO_IF_Ortho_26_05_15_Estacion_Cabecera,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_15_Estacion_Cabecera.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_16_TORRES_E48_A_E84_PV4,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_16_TORRES_E48_A_E84_PV4.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif,CL_MLP_PAO_IF_Ortho_26_05_17_EV2,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Puerto_Punta_Chungo_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_17_EV2.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002655_GS_ORTOFOTO_EDT_17-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_17_EDT,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Puerto_Punta_Chungo_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_17_EDT.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002655_GS_ORTOFOTO_EDT_17-05-2026.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002656_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4-2,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4-2.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002656_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
GEOSP-TRN-002660_GS_ORTOFOTO_EM1_150526.tif,CL_MLP_PAO_IF_Ortho_26_05_15_EM1,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_15_EM1.tif,ok,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002660_GS_ORTOFOTO_EM1_150526.tif,copied,,added,,built,,updated,1,Fecha_Adqui|Fecha_Publ,
