file_name,Name,destination_path,overall_status,source_path,copy_status,copy_error,mosaic_add_status,mosaic_add_error,footprint_status,footprint_error,attribute_status,attribute_rows_updated,attribute_missing_fields,attribute_error
GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,CL_MLP_PAO_IF_Ortho_25_12_28_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\25_12\CL_MLP_PAO_IF_Ortho_25_12_28_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,CL_MLP_PAO_IF_Ortho_25_12_10_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\25_12\CL_MLP_PAO_IF_Ortho_25_12_10_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,CL_MLP_PAO_IF_Ortho_25_12_20_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\25_12\CL_MLP_PAO_IF_Ortho_25_12_20_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,CL_MLP_PAO_IF_Ortho_26_01_03_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_01\CL_MLP_PAO_IF_Ortho_26_01_03_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,CL_MLP_PAO_IF_Ortho_26_01_17_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_01\CL_MLP_PAO_IF_Ortho_26_01_17_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,CL_MLP_PAO_IF_Ortho_26_01_23_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_01\CL_MLP_PAO_IF_Ortho_26_01_23_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,CL_MLP_PAO_IF_Ortho_26_02_04_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_02\CL_MLP_PAO_IF_Ortho_26_02_04_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,CL_MLP_PAO_IF_Ortho_26_02_20_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_02\CL_MLP_PAO_IF_Ortho_26_02_20_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,CL_MLP_PAO_IF_Ortho_26_02_26_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_02\CL_MLP_PAO_IF_Ortho_26_02_26_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,CL_MLP_PAO_IF_Ortho_26_03_07_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_03\CL_MLP_PAO_IF_Ortho_26_03_07_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,CL_MLP_PAO_IF_Ortho_26_03_13_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_03\CL_MLP_PAO_IF_Ortho_26_03_13_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,CL_MLP_PAO_IF_Ortho_26_03_22_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_03\CL_MLP_PAO_IF_Ortho_26_03_22_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,CL_MLP_PAO_IF_Ortho_26_03_27_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_03\CL_MLP_PAO_IF_Ortho_26_03_27_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002300_ortofoto completa.tif,CL_MLP_PAO_IF_Ortho_26_04_04_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_04\CL_MLP_PAO_IF_Ortho_26_04_04_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,CL_MLP_PAO_IF_Ortho_26_04_12_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_04\CL_MLP_PAO_IF_Ortho_26_04_12_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,CL_MLP_PAO_IF_Ortho_26_04_19_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_04\CL_MLP_PAO_IF_Ortho_26_04_19_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,CL_MLP_PAO_IF_Ortho_26_04_26_MonteAranda-NSTC-Km-84p2-a-82p3,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_04\CL_MLP_PAO_IF_Ortho_26_04_26_MonteAranda-NSTC-Km-84p2-a-82p3.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,CL_MLP_PAO_IF_Ortho_26_04_30_Subestacion-El-Mauro_A_E35-1,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_04\CL_MLP_PAO_IF_Ortho_26_04_30_Subestacion-El-Mauro_A_E35-1.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,CL_MLP_PAO_IF_Ortho_26_04_30_Subestacion-El-Mauro_A_E35-2,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_04\CL_MLP_PAO_IF_Ortho_26_04_30_Subestacion-El-Mauro_A_E35-2.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,CL_MLP_PAO_IF_Ortho_26_05_01_Chacay_El_Mauro_Drone,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_01_Chacay_El_Mauro_Drone.tif,dry_run,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,already_exists,,dry_run,,dry_run,,dry_run,0,,
