file_name,stem,extension,path,relative_path,size_mb,modified_at,top_folder,is_in_control_folder
GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,32.226,2026-06-11 10:38:27,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,GEOSP-TRN-002200_ORTOFOTO COMPLETA,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif,29.916,2026-06-11 10:38:35,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,29.406,2026-06-11 10:38:36,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002300_ortofoto completa.tif,GEOSP-TRN-002300_ortofoto completa,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif,50.335,2026-06-11 10:38:43,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,45.081,2026-06-11 10:38:44,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,42.079,2026-06-11 10:38:47,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,38.723,2026-06-11 10:38:49,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif,41.831,2026-06-11 10:38:54,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,852.631,2026-06-11 10:39:01,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif,128.886,2026-06-11 10:39:03,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif,GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif,47.776,2026-06-11 10:39:05,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif,GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif,37.785,2026-06-11 10:39:07,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif,GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif,47.647,2026-06-11 10:39:08,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif,GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif,62.129,2026-06-11 10:39:10,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif,GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif,32.658,2026-06-11 10:39:11,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif,GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026),.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif,32.534,2026-06-11 10:39:15,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif,GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif,348.052,2026-06-11 10:39:20,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif,GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif,2.235,2026-06-11 10:39:21,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif,GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif,36.005,2026-06-11 10:39:24,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif,GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000],.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif,11.14,2026-06-11 10:39:24,20260206_Geosupport_primera entrega,True
