order,map_name,depth,group_path,layer_path,layer_name,long_name,is_group_layer,is_broken,visible,data_source,connection_info
16,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\Cartografía Base,Permisos\PERMISOS FFAP\Cartografía Base\Caminos,Caminos,Permisos\PERMISOS FFAP\Cartografía Base\Caminos,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_06_COMPLEMENTOS\CL_MLP_PAO_PASM_CARTO_LI_Caminos,"{'dataset': 'CL_MLP_PAO_PASM_CARTO_LI_Caminos', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
17,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\Cartografía Base,Permisos\PERMISOS FFAP\Cartografía Base\Hidrografia,Hidrografia,Permisos\PERMISOS FFAP\Cartografía Base\Hidrografia,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_06_COMPLEMENTOS\CL_MLP_PAO_PASM_CARTO_LI_Hidrografia,"{'dataset': 'CL_MLP_PAO_PASM_CARTO_LI_Hidrografia', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
18,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\Cartografía Base,Permisos\PERMISOS FFAP\Cartografía Base\Curvas de Nivel,Curvas de Nivel,Permisos\PERMISOS FFAP\Cartografía Base\Curvas de Nivel,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_06_COMPLEMENTOS\CL_MLP_PAO_PASM_CARTO_LI_Curvas_Nivel,"{'dataset': 'CL_MLP_PAO_PASM_CARTO_LI_Curvas_Nivel', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
20,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología\Elemento Patrimonial de Arqueología,Elemento Patrimonial de Arqueología,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología\Elemento Patrimonial de Arqueología,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_132_PU,"{'dataset': 'CL_MLP_PAO_PASM_132_PU', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
21,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología\Puntos Observación Paleontológicos,Puntos Observación Paleontológicos,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología\Puntos Observación Paleontológicos,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_132_PU,"{'dataset': 'CL_MLP_PAO_PASM_132_PU', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
22,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología\Potenciales paleontológicos,Potenciales paleontológicos,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología\Potenciales paleontológicos,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_132_PO,"{'dataset': 'CL_MLP_PAO_PASM_132_PO', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
23,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología\Área Influencia Paleontología,Área Influencia Paleontología,Permisos\PERMISOS FFAP\PASM 132: Excavaciones Arqueología y Paleontología\Área Influencia Paleontología,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_132_PO,"{'dataset': 'CL_MLP_PAO_PASM_132_PO', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
25,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas\Busqueda Dirigida Anfibios,Busqueda Dirigida Anfibios,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas\Busqueda Dirigida Anfibios,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_146_PU_Busqueda,"{'dataset': 'CL_MLP_PAO_PASM_146_PU_Busqueda', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
26,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas\Registros anfibios sitio relocalización,Registros anfibios sitio relocalización,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas\Registros anfibios sitio relocalización,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_146_PU_Registro,"{'dataset': 'CL_MLP_PAO_PASM_146_PU_Registro', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
27,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas,Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas\Área Rescate Fauna (Anfibios),Área Rescate Fauna (Anfibios),Permisos\PERMISOS FFAP\PASM 146: Captura Especies Protegidas\Área Rescate Fauna (Anfibios),False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_146_PO,"{'dataset': 'CL_MLP_PAO_PASM_146_PO', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
