file_name,stem,extension,path,relative_path,size_mb,modified_at,top_folder,is_in_control_folder,expected_name,expected_file_name,expected_stem,expected_date_token,expected_sector,expected_sector_candidates,expected_stem_candidates,date_warning,rename_status,expected_name_exists_in_mosaic,matched_mosaic_source_field,matched_mosaic_path,matched_mosaic_file_name,matched_mosaic_stem,load_status,date_exists_in_mosaic,same_date_mosaic_examples,triage_status
GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,180.745,2026-06-11 10:38:07,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_01_03_eb2,CL_MLP_PAO_IF_Ortho_26_01_03_eb2.tif,CL_MLP_PAO_IF_Ortho_26_01_03_eb2,26_01_03,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_01_03_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_01_03/cl_mlp_pao_if_ortho_26_01_03_dme5a-dme17-a-nstc-78p9.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,164.324,2026-06-11 10:38:09,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_01_17_eb2,CL_MLP_PAO_IF_Ortho_26_01_17_eb2.tif,CL_MLP_PAO_IF_Ortho_26_01_17_eb2,26_01_17,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_01_17_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_01_17/cl_mlp_pao_if_ortho_26_01_17_montearanda-nstc-km-84p2-a-82p3.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,128.088,2026-06-11 10:38:15,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_02_04_eb2,CL_MLP_PAO_IF_Ortho_26_02_04_eb2.tif,CL_MLP_PAO_IF_Ortho_26_02_04_eb2,26_02_04,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_02_04_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_iiff9-pa13.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_linea-33-kv-norteelmauro-area3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_ed1-iiff7-dme8.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_dme9_pa12_iiff8.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,39.182,2026-06-11 10:38:21,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_02_26_eb2,CL_MLP_PAO_IF_Ortho_26_02_26_eb2.tif,CL_MLP_PAO_IF_Ortho_26_02_26_eb2,26_02_26,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_02_26_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_eb3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_torre_e85_a_e_125.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_ev1.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_subestacion-el-mauro.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_em2.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,225.507,2026-06-11 10:38:24,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_03_07_eb2,CL_MLP_PAO_IF_Ortho_26_03_07_eb2.tif,CL_MLP_PAO_IF_Ortho_26_03_07_eb2,26_03_07,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_03_07_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_eb3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_ev2.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_ed1-iiff7-dme8.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_patio-19b-y-armado.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_subestacion-el-mauro.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif,32.226,2026-06-11 10:38:27,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_03_13_eb2,CL_MLP_PAO_IF_Ortho_26_03_13_eb2.tif,CL_MLP_PAO_IF_Ortho_26_03_13_eb2,26_03_13,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_03_13_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_drone/26_03_13/cl_mlp_pao_if_ortho_26_03_13_em1.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_03_13/cl_mlp_pao_if_ortho_26_03_13_ev2.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_13/cl_mlp_pao_if_ortho_26_03_13_em4.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_03_13/cl_mlp_pao_if_ortho_26_03_13_montearanda-nstc-km-84p2-a-82p3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_13/cl_mlp_pao_if_ortho_26_03_13_plataforma_integrada_el_mauro.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif,29.406,2026-06-11 10:38:36,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_03_27_eb2,CL_MLP_PAO_IF_Ortho_26_03_27_eb2.tif,CL_MLP_PAO_IF_Ortho_26_03_27_eb2,26_03_27,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_03_27_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_drone/26_03_27/cl_mlp_pao_if_ortho_26_03_27_estacion_cabecera.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_27/cl_mlp_pao_if_ortho_26_03_27_eb3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_03_27/cl_mlp_pao_if_ortho_26_03_27_ev1.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_27/cl_mlp_pao_if_ortho_26_03_27_helipuerto.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_03_27/cl_mlp_pao_if_ortho_26_03_27_torre_e85_a_e_125.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_27/cl_mlp_pao_if_ortho_26_03_27_subestacion-el-mauro.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_27/cl_mlp_pao_if_ortho_26_03_27_estacion_intermedia.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_03_27/cl_mlp_pao_if_ortho_26_03_27_montearanda-nstc-km-84p2-a-82p3.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,45.081,2026-06-11 10:38:44,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_04_12_eb2,CL_MLP_PAO_IF_Ortho_26_04_12_eb2.tif,CL_MLP_PAO_IF_Ortho_26_04_12_eb2,26_04_12,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_04_12_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_04/cl_mlp_pao_if_ortho_26_04_12_ev2.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_04/cl_mlp_pao_if_ortho_26_04_12_torre_e85_a_e_125.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,42.079,2026-06-11 10:38:47,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_04_19_eb2,CL_MLP_PAO_IF_Ortho_26_04_19_eb2.tif,CL_MLP_PAO_IF_Ortho_26_04_19_eb2,26_04_19,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_04_19_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_04/cl_mlp_pao_if_ortho_26_04_19_ev2.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,38.723,2026-06-11 10:38:49,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_04_26_eb2,CL_MLP_PAO_IF_Ortho_26_04_26_eb2.tif,CL_MLP_PAO_IF_Ortho_26_04_26_eb2,26_04_26,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_04_26_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/puerto_punta_chungo_drone/26_04/cl_mlp_pao_if_ortho_26_04_26_edt.tif,revisar_fecha_existente_en_mosaico
