"triage_status","load_status","file_name","expected_name","expected_date_token","expected_sector","date_exists_in_mosaic","matched_mosaic_path","relative_path"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif","CL_MLP_PAO_IF_Ortho_25_12_28_eb2","25_12_28","eb2","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif","CL_MLP_PAO_IF_Ortho_25_12_20_eb2","25_12_20","eb2","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif","CL_MLP_PAO_IF_Ortho_26_01_03_eb2","26_01_03","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif","CL_MLP_PAO_IF_Ortho_26_01_17_eb2","26_01_17","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif","CL_MLP_PAO_IF_Ortho_26_02_04_eb2","26_02_04","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif","","","","False","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif","CL_MLP_PAO_IF_Ortho_26_02_26_eb2","26_02_26","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif","CL_MLP_PAO_IF_Ortho_26_03_07_eb2","26_03_07","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif","CL_MLP_PAO_IF_Ortho_26_03_13_eb2","26_03_13","eb2","True","","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif"
